Email,Count,Category
newsletter@example.com,1250,Newsletter
notifications@linkedin.com,890,Social Media
marketing@retailstore.com,567,Promotional
noreply@facebook.com,432,Social Media
deals@onlinestore.com,398,Promotional
updates@newswebsite.com,345,Newsletter
alerts@service.com,289,Automated
promotions@shopping.com,256,Promotional
newsletter@techblog.com,234,Newsletter
notifications@twitter.com,198,Social Media
offers@ecommerce.com,176,Promotional
digest@forum.com,165,Newsletter
updates@app.com,154,Automated
marketing@brand.com,143,Promotional
news@publisher.com,132,Newsletter
alerts@platform.com,121,Automated
deals@marketplace.com,110,Promotional
notifications@instagram.com,98,Social Media
weekly@blog.com,87,Newsletter
offers@store.com,76,Promotional
updates@saas.com,65,Automated
marketing@company.com,54,Promotional
newsletter@community.com,43,Newsletter
alerts@monitoring.com,32,Automated
promotions@vendor.com,21,Promotional
